ax,ay,az,gx,gy,gz,target
6.55,-0.09,7.47,0.26,-0.09,-0.02,IDLE
6.41,-0.68,8.06,0.3,-0.1,0.0,IDLE
6.02,-1.49,8.46,0.28,-0.1,0.02,IDLE
5.86,-0.62,7.82,0.27,-0.06,-0.0,IDLE
6.14,-0.1,7.09,0.27,-0.07,-0.03,IDLE
6.48,-1.19,7.85,0.29,-0.1,-0.0,IDLE
6.4,-1.31,8.39,0.27,-0.12,0.03,IDLE
6.31,-0.47,7.87,0.28,-0.09,-0.0,IDLE
6.03,-0.19,7.57,0.28,-0.06,-0.03,IDLE
5.92,-1.09,7.84,0.28,-0.08,-0.01,IDLE
6.09,-1.32,8.05,0.25,-0.1,0.03,IDLE
6.59,-0.37,7.37,0.29,-0.1,0.0,IDLE
6.56,-0.24,7.68,0.3,-0.09,-0.02,IDLE
6.18,-1.27,8.26,0.28,-0.09,-0.01,IDLE
5.73,-1.14,8.49,0.25,-0.08,0.03,IDLE
6.04,-0.33,7.27,0.29,-0.07,-0.0,IDLE
6.67,-0.62,7.27,0.29,-0.09,-0.03,IDLE
6.55,-1.28,8.13,0.26,-0.11,-0.0,IDLE
5.93,-0.86,8.49,0.26,-0.1,0.02,IDLE
6.09,-0.48,7.73,0.3,-0.08,0.0,IDLE
6.19,-0.5,7.4,0.3,-0.07,-0.03,IDLE
6.11,-1.37,7.88,0.25,-0.09,-0.01,IDLE
6.24,-0.79,7.97,0.25,-0.11,0.02,IDLE
6.59,-0.36,7.67,0.32,-0.1,0.0,IDLE
6.38,-0.91,7.95,0.29,-0.09,-0.02,IDLE
5.84,-1.21,8.47,0.25,-0.08,-0.0,IDLE
5.58,-0.58,7.93,0.25,-0.07,0.01,IDLE
6.43,-0.7,7.29,0.32,-0.09,0.0,IDLE
6.86,-0.94,7.73,0.29,-0.12,-0.01,IDLE
6.1,-0.94,8.39,0.24,-0.1,-0.01,IDLE
5.75,-0.45,8.15,0.27,-0.07,0.01,IDLE
6.09,-0.71,7.69,0.32,-0.08,0.0,IDLE
6.15,-1.05,7.68,0.27,-0.09,-0.01,IDLE
6.16,-0.93,7.88,0.23,-0.09,-0.01,IDLE
6.42,-0.34,7.84,0.28,-0.1,0.01,IDLE
6.31,-1.1,8.09,0.32,-0.1,0.01,IDLE
5.91,-1.01,8.15,0.27,-0.08,-0.0,IDLE
5.8,-0.51,7.62,0.24,-0.06,-0.02,IDLE
5.99,-0.55,7.58,0.28,-0.08,0.0,IDLE
6.6,-1.2,7.83,0.31,-0.12,0.02,IDLE
6.52,-0.84,8.11,0.27,-0.11,-0.0,IDLE
5.96,-0.45,8.14,0.25,-0.07,-0.02,IDLE
5.72,-0.56,7.9,0.29,-0.07,-0.0,IDLE
6.04,-1.47,8.06,0.29,-0.09,0.02,IDLE
6.28,-0.83,7.62,0.26,-0.09,-0.0,IDLE
6.59,-0.31,7.48,0.26,-0.09,-0.02,IDLE
6.21,-0.77,8.14,0.29,-0.09,0.0,IDLE
5.89,-1.38,8.35,0.29,-0.09,0.02,IDLE
5.94,-0.49,7.58,0.27,-0.07,-0.0,IDLE
6.34,-0.42,7.18,0.27,-0.08,-0.02,IDLE
6.34,-0.95,7.7,0.28,-0.1,0.0,IDLE
6.47,-1.24,8.14,0.28,-0.12,0.02,IDLE
6.22,-0.55,7.93,0.29,-0.08,0.0,IDLE
6.07,-0.3,7.61,0.28,-0.06,-0.03,IDLE
5.94,-1.12,7.84,0.27,-0.08,-0.01,IDLE
6.17,-1.23,8.05,0.26,-0.11,0.02,IDLE
6.56,-0.44,7.36,0.29,-0.09,0.0,IDLE
6.74,-0.39,7.63,0.29,-0.09,-0.02,IDLE
6.03,-1.15,8.42,0.27,-0.09,-0.0,IDLE
5.63,-1.05,8.38,0.26,-0.08,0.02,IDLE
6.18,-0.45,7.25,0.29,-0.08,-0.0,IDLE
6.9,-0.68,7.23,0.3,-0.11,-0.02,IDLE
6.5,-1.2,8.08,0.26,-0.12,-0.0,IDLE
6.01,-0.93,8.54,0.26,-0.1,0.02,IDLE
6.12,-0.41,7.64,0.31,-0.08,-0.0,IDLE
6.32,-0.71,7.41,0.29,-0.09,-0.02,IDLE
6.09,-1.23,7.97,0.24,-0.09,-0.0,IDLE
6.33,-0.57,7.98,0.26,-0.1,0.01,IDLE
6.76,-0.44,7.52,0.32,-0.11,0.0,IDLE
6.49,-0.9,8.05,0.29,-0.1,-0.01,IDLE
5.65,-1.02,8.37,0.24,-0.07,-0.01,IDLE
5.74,-0.57,7.77,0.26,-0.07,0.01,IDLE
6.6,-0.79,7.33,0.32,-0.11,0.01,IDLE
6.76,-0.96,7.88,0.28,-0.12,-0.0,IDLE
6.17,-0.93,8.34,0.24,-0.1,-0.01,IDLE
5.83,-0.5,8.09,0.27,-0.08,0.01,IDLE
6.11,-0.85,7.66,0.32,-0.09,0.01,IDLE
