ax,ay,az,gx,gy,gz,target
5.3,-0.29,8.23,0.22,-0.06,-0.08,MOV1
6.28,-0.4,7.55,0.24,-0.09,-0.11,MOV1
6.11,-0.68,8.13,0.19,-0.09,-0.14,MOV1
5.32,-0.45,8.71,0.15,-0.07,-0.11,MOV1
5.51,-0.38,8.27,0.23,-0.06,-0.09,MOV1
6.21,-0.34,7.84,0.24,-0.08,-0.12,MOV1
5.66,-0.67,8.22,0.18,-0.08,-0.15,MOV1
5.04,-0.52,8.6,0.14,-0.06,-0.11,MOV1
5.96,-0.39,7.98,0.23,-0.08,-0.1,MOV1
6.53,-0.4,7.96,0.25,-0.1,-0.11,MOV1
5.79,-0.65,8.53,0.19,-0.08,-0.14,MOV1
4.76,-0.42,8.81,0.15,-0.05,-0.11,MOV1
5.56,-0.45,7.93,0.24,-0.06,-0.09,MOV1
6.53,-0.53,7.68,0.25,-0.11,-0.09,MOV1
5.91,-0.56,8.35,0.2,-0.09,-0.13,MOV1
5.05,-0.17,8.62,0.17,-0.05,-0.1,MOV1
5.63,-0.49,8.17,0.26,-0.07,-0.07,MOV1
6.1,-0.41,7.92,0.26,-0.09,-0.07,MOV1
5.62,-0.56,8.12,0.21,-0.08,-0.11,MOV1
5.3,-0.18,8.36,0.19,-0.06,-0.07,MOV1
6.08,-0.59,8.15,0.28,-0.09,-0.04,MOV1
6.11,-0.41,8.14,0.28,-0.11,-0.04,MOV1
5.54,-0.49,8.47,0.23,-0.07,-0.08,MOV1
4.86,-0.16,8.49,0.2,-0.05,-0.05,MOV1
5.82,-0.73,7.95,0.28,-0.08,-0.02,MOV1
6.55,-0.33,7.77,0.29,-0.12,-0.02,MOV1
5.84,-0.56,8.45,0.24,-0.09,-0.06,MOV1
5.13,-0.18,8.67,0.21,-0.06,-0.03,MOV1
5.52,-0.54,8.26,0.28,-0.07,-0.01,MOV1
6.13,-0.35,7.7,0.29,-0.1,-0.02,MOV1
5.87,-0.68,8.1,0.24,-0.09,-0.05,MOV1
5.43,-0.09,8.45,0.21,-0.07,-0.04,MOV1
5.83,-0.55,8.33,0.28,-0.08,-0.01,MOV1
6.25,-0.37,7.92,0.3,-0.11,-0.02,MOV1
5.47,-0.58,8.36,0.24,-0.07,-0.06,MOV1
5.06,-0.25,8.4,0.2,-0.05,-0.05,MOV1
6.06,-0.6,8.02,0.27,-0.09,-0.01,MOV1
6.48,-0.35,8.08,0.29,-0.12,-0.02,MOV1
5.54,-0.59,8.57,0.23,-0.08,-0.07,MOV1
4.92,-0.22,8.73,0.19,-0.05,-0.06,MOV1
5.6,-0.66,8.16,0.27,-0.07,-0.02,MOV1
6.3,-0.43,7.76,0.28,-0.11,-0.02,MOV1
5.9,-0.57,8.25,0.23,-0.09,-0.07,MOV1
5.21,-0.09,8.46,0.2,-0.06,-0.06,MOV1
5.73,-0.76,8.38,0.27,-0.09,-0.02,MOV1
6.04,-0.29,8.06,0.29,-0.1,-0.03,MOV1
5.45,-0.62,8.23,0.23,-0.08,-0.07,MOV1
5.27,-0.23,8.31,0.2,-0.06,-0.06,MOV1
6.17,-0.64,8.12,0.28,-0.11,-0.01,MOV1
6.19,-0.46,8.27,0.29,-0.12,-0.02,MOV1
5.28,-0.53,8.49,0.24,-0.07,-0.07,MOV1
4.84,-0.12,8.49,0.21,-0.05,-0.05,MOV1
5.84,-0.73,7.92,0.29,-0.09,-0.01,MOV1
6.45,-0.49,7.91,0.3,-0.13,-0.0,MOV1
5.62,-0.55,8.53,0.24,-0.09,-0.05,MOV1
5.21,0.09,8.41,0.23,-0.05,-0.04,MOV1
5.86,-0.71,8.16,0.3,-0.09,0.0,MOV1
5.94,-0.47,8.13,0.3,-0.11,0.01,MOV1
5.46,-0.65,8.23,0.24,-0.08,-0.04,MOV1
5.58,0.11,8.07,0.24,-0.07,-0.02,MOV1
6.26,-0.67,8.2,0.31,-0.11,0.02,MOV1
5.83,-0.52,8.53,0.3,-0.11,0.02,MOV1
5.16,-0.48,8.28,0.25,-0.06,-0.04,MOV1
5.13,0.07,8.1,0.24,-0.05,-0.01,MOV1
6.34,-0.79,7.89,0.31,-0.11,0.03,MOV1
6.24,-0.41,8.32,0.31,-0.14,0.03,MOV1
5.36,-0.51,8.6,0.25,-0.07,-0.03,MOV1
5.26,0.21,8.2,0.25,-0.04,-0.02,MOV1
6.0,-0.91,8.04,0.31,-0.11,0.04,MOV1
5.83,-0.5,8.2,0.3,-0.12,0.03,MOV1
5.57,-0.57,8.23,0.25,-0.08,-0.03,MOV1
5.74,0.24,8.04,0.25,-0.07,-0.01,MOV1
6.08,-0.93,8.38,0.31,-0.11,0.04,MOV1
5.5,-0.41,8.56,0.29,-0.1,0.02,MOV1
5.28,-0.44,8.02,0.24,-0.06,-0.04,MOV1
5.52,0.04,7.91,0.25,-0.06,-0.01,MOV1
6.45,-0.93,8.17,0.31,-0.13,0.05,MOV1
5.82,-0.35,8.6,0.3,-0.12,0.03,MOV1
5.24,-0.44,8.43,0.25,-0.06,-0.04,MOV1
5.4,0.11,7.92,0.25,-0.06,-0.01,MOV1
6.02,-1.15,8.2,0.31,-0.12,0.05,MOV1
5.93,-0.42,8.16,0.3,-0.12,0.02,MOV1
5.79,-0.45,8.18,0.25,-0.08,-0.03,MOV1
5.56,0.14,8.17,0.25,-0.07,-0.01,MOV1
5.82,-1.03,8.46,0.31,-0.11,0.04,MOV1
5.56,-0.37,8.28,0.29,-0.1,0.01,MOV1
5.65,-0.55,7.98,0.25,-0.07,-0.04,MOV1
5.72,0.06,7.97,0.25,-0.07,-0.01,MOV1
6.3,-0.9,8.33,0.31,-0.12,0.03,MOV1
5.72,-0.36,8.48,0.3,-0.11,0.01,MOV1
5.3,-0.48,8.21,0.25,-0.05,-0.05,MOV1
5.5,-0.01,7.98,0.25,-0.06,-0.02,MOV1
6.15,-1.02,8.24,0.3,-0.13,0.04,MOV1
6.11,-0.27,8.18,0.3,-0.12,0.02,MOV1
5.72,-0.42,8.36,0.26,-0.08,-0.03,MOV1
5.44,-0.02,8.37,0.25,-0.06,-0.01,MOV1
5.7,-0.93,8.41,0.3,-0.1,0.04,MOV1
5.75,-0.31,8.07,0.3,-0.1,0.01,MOV1
6.0,-0.4,7.99,0.26,-0.08,-0.03,MOV1
5.74,-0.03,8.29,0.25,-0.08,-0.01,MOV1
5.92,-0.87,8.48,0.3,-0.11,0.03,MOV1
5.67,-0.19,8.22,0.3,-0.09,0.01,MOV1
5.47,-0.45,8.08,0.25,-0.06,-0.04,MOV1
5.62,-0.17,8.12,0.25,-0.08,-0.01,MOV1
6.12,-0.78,8.36,0.3,-0.12,0.03,MOV1
5.87,-0.32,8.28,0.3,-0.11,0.01,MOV1
5.59,-0.48,8.43,0.26,-0.07,-0.03,MOV1
5.2,-0.12,8.39,0.24,-0.06,-0.01,MOV1
5.74,-0.82,8.16,0.29,-0.1,0.03,MOV1
6.11,-0.37,7.95,0.3,-0.12,0.01,MOV1
5.86,-0.42,8.32,0.25,-0.09,-0.03,MOV1
5.43,-0.1,8.41,0.25,-0.07,-0.0,MOV1
5.71,-0.8,8.35,0.3,-0.1,0.03,MOV1
5.66,-0.32,8.1,0.3,-0.09,0.01,MOV1
5.7,-0.5,7.97,0.25,-0.08,-0.03,MOV1
5.78,-0.22,8.21,0.25,-0.09,-0.0,MOV1
5.99,-0.8,8.47,0.3,-0.11,0.04,MOV1
5.72,-0.34,8.25,0.3,-0.1,0.01,MOV1
5.49,-0.45,8.31,0.26,-0.07,-0.04,MOV1
5.26,-0.27,8.27,0.24,-0.07,-0.0,MOV1
5.9,-0.82,8.1,0.29,-0.11,0.03,MOV1
6.24,-0.28,8.02,0.3,-0.12,0.01,MOV1
5.77,-0.43,8.42,0.26,-0.08,-0.03,MOV1
5.22,-0.23,8.48,0.25,-0.07,-0.01,MOV1
5.57,-0.64,8.27,0.3,-0.09,0.02,MOV1
5.84,-0.36,7.92,0.3,-0.1,0.0,MOV1
5.95,-0.54,8.04,0.26,-0.09,-0.03,MOV1
5.71,-0.22,8.4,0.25,-0.09,0.0,MOV1
5.72,-0.67,8.41,0.3,-0.1,0.03,MOV1
5.76,-0.34,8.11,0.3,-0.09,0.0,MOV1
5.62,-0.42,7.97,0.26,-0.07,-0.03,MOV1
5.44,-0.37,8.26,0.24,-0.07,0.0,MOV1
6.1,-0.62,8.12,0.3,-0.11,0.03,MOV1
6.09,-0.24,8.16,0.3,-0.11,0.01,MOV1
5.59,-0.36,8.3,0.26,-0.07,-0.04,MOV1
5.28,-0.31,8.37,0.25,-0.07,-0.0,MOV1
5.69,-0.77,8.14,0.29,-0.1,0.03,MOV1
6.02,-0.3,7.81,0.3,-0.1,0.0,MOV1
6.04,-0.31,8.04,0.26,-0.09,-0.03,MOV1
5.56,-0.32,8.47,0.25,-0.09,0.01,MOV1
5.48,-0.7,8.48,0.29,-0.09,0.03,MOV1
5.68,-0.24,7.97,0.3,-0.09,0.0,MOV1
5.93,-0.39,7.88,0.26,-0.08,-0.03,MOV1
5.65,-0.47,8.28,0.25,-0.09,0.01,MOV1
5.89,-0.66,8.35,0.29,-0.11,0.03,MOV1
5.9,-0.23,8.09,0.3,-0.09,-0.0,MOV1
5.6,-0.37,8.13,0.26,-0.07,-0.03,MOV1
5.32,-0.48,8.33,0.24,-0.08,0.01,MOV1
5.83,-0.65,8.14,0.29,-0.1,0.03,MOV1
6.27,-0.24,7.99,0.3,-0.11,0.0,MOV1
