ax,ay,az,gx,gy,gz,target
6.21,-0.41,7.82,0.27,-0.13,0.06,ANOM1
6.44,-0.15,7.68,0.24,-0.1,0.01,ANOM1
6.22,0.27,7.75,0.22,-0.09,0.02,ANOM1
6.13,-1.04,8.24,0.24,-0.11,0.05,ANOM1
5.84,-0.61,8.2,0.23,-0.09,0.06,ANOM1
6.02,-0.59,7.52,0.2,-0.07,0.0,ANOM1
6.42,-0.25,7.39,0.2,-0.09,0.01,ANOM1
6.54,-1.4,8.01,0.22,-0.12,0.05,ANOM1
5.88,-1.22,8.34,0.21,-0.09,0.05,ANOM1
6.03,-1.11,7.66,0.22,-0.05,0.01,ANOM1
5.9,-0.83,7.61,0.21,-0.05,0.01,ANOM1
6.23,-2.02,8.01,0.25,-0.1,0.05,ANOM1
6.27,-1.59,8.01,0.26,-0.1,0.05,ANOM1
6.33,-1.37,7.83,0.28,-0.07,0.0,ANOM1
5.94,-1.07,7.98,0.28,-0.06,-0.0,ANOM1
5.75,-2.11,8.22,0.29,-0.08,0.03,ANOM1
5.7,-1.48,8.11,0.3,-0.07,0.03,ANOM1
6.28,-1.46,7.59,0.31,-0.06,-0.02,ANOM1
6.37,-0.9,7.7,0.3,-0.08,-0.03,ANOM1
5.96,-1.89,8.54,0.32,-0.1,-0.0,ANOM1
5.43,-1.23,8.41,0.33,-0.07,-0.02,ANOM1
5.9,-1.06,7.64,0.34,-0.07,-0.06,ANOM1
5.8,-0.51,7.55,0.33,-0.07,-0.07,ANOM1
6.04,-1.49,8.24,0.33,-0.12,-0.02,ANOM1
5.89,-0.59,8.29,0.34,-0.1,-0.03,ANOM1
6.09,-0.48,7.94,0.34,-0.09,-0.06,ANOM1
5.82,0.04,7.81,0.32,-0.08,-0.07,ANOM1
5.7,-0.85,8.26,0.29,-0.11,-0.03,ANOM1
5.68,-0.24,8.03,0.31,-0.1,-0.02,ANOM1
6.61,0.01,7.42,0.3,-0.1,-0.05,ANOM1
6.45,0.33,7.84,0.28,-0.11,-0.05,ANOM1
5.72,-0.6,8.61,0.26,-0.11,0.01,ANOM1
5.49,-0.02,8.12,0.27,-0.09,0.02,ANOM1
6.34,-0.02,7.29,0.27,-0.09,0.01,ANOM1
6.43,0.05,7.41,0.25,-0.1,0.01,ANOM1
6.34,-0.82,8.32,0.23,-0.13,0.06,ANOM1
6.01,-0.17,8.19,0.25,-0.1,0.06,ANOM1
6.31,-0.32,7.61,0.26,-0.08,0.03,ANOM1
6.16,-0.26,7.39,0.23,-0.08,0.02,ANOM1
6.07,-1.24,8.15,0.19,-0.1,0.06,ANOM1
6.22,-0.65,7.74,0.22,-0.09,0.06,ANOM1
6.92,-0.64,7.44,0.23,-0.09,0.03,ANOM1
6.3,-0.84,7.86,0.22,-0.08,0.01,ANOM1
5.56,-1.66,8.39,0.19,-0.07,0.05,ANOM1
5.61,-1.18,8.04,0.23,-0.05,0.04,ANOM1
6.69,-1.29,7.35,0.27,-0.08,0.03,ANOM1
6.53,-1.43,7.92,0.26,-0.1,0.02,ANOM1
5.74,-1.97,8.62,0.24,-0.09,0.05,ANOM1
5.53,-1.47,8.18,0.29,-0.06,0.04,ANOM1
6.18,-1.46,7.54,0.33,-0.08,0.02,ANOM1
6.13,-1.58,7.75,0.31,-0.1,0.01,ANOM1
5.8,-1.88,8.39,0.28,-0.09,0.02,ANOM1
6.06,-1.22,8.02,0.33,-0.08,0.0,ANOM1
6.54,-1.41,7.71,0.37,-0.1,-0.01,ANOM1
6.05,-1.32,8.06,0.35,-0.09,-0.05,ANOM1
5.18,-1.46,8.49,0.29,-0.07,-0.04,ANOM1
6.01,-0.81,7.7,0.35,-0.09,-0.04,ANOM1
6.78,-0.86,7.62,0.37,-0.13,-0.05,ANOM1
6.42,-0.78,8.03,0.34,-0.13,-0.07,ANOM1
5.66,-0.56,8.58,0.28,-0.1,-0.06,ANOM1
5.81,-0.05,7.84,0.33,-0.08,-0.06,ANOM1
6.41,-0.28,7.47,0.34,-0.11,-0.05,ANOM1
6.43,-0.35,7.69,0.29,-0.11,-0.07,ANOM1
6.08,0.08,8.14,0.24,-0.09,-0.05,ANOM1
6.35,0.11,7.87,0.3,-0.1,-0.03,ANOM1
6.36,-0.19,7.88,0.3,-0.1,-0.01,ANOM1
5.85,-0.15,7.9,0.26,-0.08,-0.02,ANOM1
5.72,-0.03,7.92,0.22,-0.07,0.01,ANOM1
6.52,-0.13,7.53,0.28,-0.1,0.04,ANOM1
6.68,-0.37,7.91,0.28,-0.12,0.06,ANOM1
6.38,-0.42,8.05,0.24,-0.1,0.04,ANOM1
5.64,-0.21,8.25,0.2,-0.06,0.05,ANOM1
6.0,-0.51,7.59,0.25,-0.06,0.07,ANOM1
6.65,-0.87,7.52,0.24,-0.1,0.08,ANOM1
6.54,-0.84,7.78,0.21,-0.09,0.03,ANOM1
5.95,-0.5,8.11,0.17,-0.06,0.03,ANOM1
6.02,-1.05,7.93,0.23,-0.06,0.04,ANOM1
6.12,-1.26,7.92,0.24,-0.08,0.05,ANOM1
5.84,-1.43,7.92,0.21,-0.06,0.02,ANOM1
5.8,-0.96,7.85,0.19,-0.06,0.02,ANOM1
6.26,-1.62,8.1,0.26,-0.09,0.05,ANOM1
5.88,-1.74,8.25,0.29,-0.1,0.08,ANOM1
5.51,-1.79,8.15,0.27,-0.07,0.03,ANOM1
5.42,-1.28,7.9,0.27,-0.07,0.02,ANOM1
6.08,-1.86,7.82,0.32,-0.11,0.05,ANOM1
6.19,-1.96,8.09,0.35,-0.14,0.06,ANOM1
6.17,-1.65,8.1,0.33,-0.1,-0.0,ANOM1
5.81,-1.15,7.94,0.31,-0.07,-0.04,ANOM1
5.91,-1.73,7.93,0.35,-0.1,-0.01,ANOM1
5.93,-1.62,8.17,0.35,-0.1,-0.03,ANOM1
6.05,-1.41,7.74,0.34,-0.09,-0.08,ANOM1
6.33,-0.59,7.6,0.33,-0.1,-0.09,ANOM1
5.98,-1.17,8.3,0.36,-0.12,-0.06,ANOM1
5.63,-0.87,8.49,0.37,-0.11,-0.05,ANOM1
5.98,-0.21,7.69,0.33,-0.09,-0.1,ANOM1
5.75,0.13,7.71,0.3,-0.09,-0.1,ANOM1
6.52,-0.36,7.71,0.33,-0.13,-0.04,ANOM1
6.47,-0.06,8.11,0.31,-0.12,-0.04,ANOM1
6.15,0.07,8.02,0.3,-0.09,-0.05,ANOM1
6.01,0.63,7.71,0.26,-0.06,-0.06,ANOM1
5.77,-0.27,8.14,0.27,-0.09,-0.01,ANOM1
5.93,-0.15,8.02,0.29,-0.1,0.03,ANOM1
6.6,0.1,7.5,0.26,-0.09,-0.0,ANOM1
6.4,0.48,7.78,0.24,-0.09,0.02,ANOM1
6.12,-0.48,8.29,0.25,-0.09,0.07,ANOM1
5.6,-0.41,8.31,0.23,-0.07,0.08,ANOM1
