ax,ay,az,gx,gy,gz,target
6.33,-0.88,7.94,0.17,-0.08,-0.18,ANOM2
6.41,-0.99,8.38,0.16,-0.1,-0.16,ANOM2
5.75,-0.42,8.07,0.12,-0.03,-0.26,ANOM2
5.77,-0.07,7.69,0.1,-0.02,-0.26,ANOM2
6.04,-1.07,8.06,0.14,-0.06,-0.22,ANOM2
5.91,-1.14,8.29,0.13,-0.08,-0.2,ANOM2
5.9,-0.43,7.89,0.12,-0.05,-0.26,ANOM2
6.01,-0.07,7.83,0.12,-0.04,-0.26,ANOM2
5.55,-1.41,8.67,0.15,-0.07,-0.2,ANOM2
5.18,-1.02,8.72,0.16,-0.06,-0.17,ANOM2
5.44,-0.66,7.84,0.19,-0.04,-0.21,ANOM2
6.0,-0.45,7.68,0.2,-0.07,-0.19,ANOM2
5.95,-1.61,8.59,0.23,-0.12,-0.11,ANOM2
5.29,-0.97,8.8,0.25,-0.11,-0.08,ANOM2
5.74,-0.66,7.8,0.29,-0.08,-0.12,ANOM2
6.0,-0.23,7.57,0.27,-0.08,-0.12,ANOM2
5.89,-1.57,8.35,0.27,-0.12,-0.07,ANOM2
5.88,-0.56,8.18,0.29,-0.11,-0.06,ANOM2
6.64,-0.29,7.56,0.3,-0.08,-0.12,ANOM2
6.52,-0.12,7.72,0.28,-0.08,-0.14,ANOM2
5.69,-0.96,8.5,0.23,-0.08,-0.1,ANOM2
5.43,-0.06,8.39,0.25,-0.05,-0.11,ANOM2
6.48,0.15,7.23,0.26,-0.06,-0.16,ANOM2
6.71,0.42,7.58,0.22,-0.08,-0.18,ANOM2
5.82,-0.34,8.63,0.16,-0.08,-0.15,ANOM2
5.49,0.62,8.31,0.18,-0.05,-0.15,ANOM2
6.41,0.55,7.34,0.18,-0.05,-0.19,ANOM2
6.53,0.57,7.43,0.09,-0.05,-0.24,ANOM2
5.82,-0.35,8.45,0.02,-0.06,-0.2,ANOM2
6.21,0.7,7.9,0.05,-0.04,-0.21,ANOM2
6.84,0.14,7.49,0.04,-0.03,-0.28,ANOM2
6.04,-0.06,8.07,-0.03,-0.02,-0.31,ANOM2
5.54,-0.34,8.27,-0.08,-0.0,-0.29,ANOM2
5.76,-0.03,7.89,-0.05,0.0,-0.31,ANOM2
6.68,-0.61,7.7,-0.01,-0.05,-0.31,ANOM2
6.17,-0.5,8.15,-0.07,-0.04,-0.35,ANOM2
5.14,-0.65,8.64,-0.12,-0.0,-0.35,ANOM2
5.46,-0.75,8.15,-0.03,-0.01,-0.3,ANOM2
6.3,-1.13,7.82,0.0,-0.04,-0.3,ANOM2
5.67,-1.29,8.17,-0.04,-0.04,-0.33,ANOM2
5.29,-1.21,8.46,-0.02,-0.03,-0.28,ANOM2
5.64,-1.21,8.21,0.06,-0.04,-0.24,ANOM2
5.61,-1.87,8.37,0.11,-0.08,-0.21,ANOM2
