ax,ay,az,gx,gy,gz,target
5.02,-0.77,8.74,0.06,-0.04,-0.25,MOV3
5.73,-0.34,7.83,0.14,-0.04,-0.25,MOV3
6.62,-0.68,7.71,0.12,-0.08,-0.27,MOV3
5.89,-0.48,8.28,0.08,-0.06,-0.29,MOV3
5.21,-0.49,8.57,0.08,-0.04,-0.25,MOV3
5.77,-0.53,8.08,0.16,-0.06,-0.23,MOV3
6.14,-0.63,7.95,0.14,-0.07,-0.23,MOV3
5.65,-0.54,8.13,0.1,-0.06,-0.26,MOV3
5.6,-0.36,8.24,0.11,-0.05,-0.21,MOV3
6.12,-0.86,8.22,0.19,-0.08,-0.17,MOV3
6.22,-0.56,8.09,0.18,-0.09,-0.18,MOV3
5.45,-0.41,8.26,0.14,-0.05,-0.22,MOV3
5.3,-0.35,8.18,0.14,-0.04,-0.18,MOV3
6.05,-1.06,8.11,0.21,-0.09,-0.12,MOV3
6.28,-0.41,8.02,0.2,-0.1,-0.13,MOV3
5.77,-0.35,8.15,0.18,-0.05,-0.18,MOV3
5.52,-0.22,8.28,0.17,-0.05,-0.14,MOV3
5.78,-1.05,8.38,0.23,-0.08,-0.09,MOV3
5.87,-0.42,7.92,0.22,-0.09,-0.1,MOV3
6.09,-0.35,7.72,0.2,-0.06,-0.14,MOV3
5.98,-0.17,8.12,0.19,-0.07,-0.12,MOV3
5.84,-1.07,8.61,0.23,-0.09,-0.06,MOV3
5.81,-0.32,8.25,0.24,-0.08,-0.08,MOV3
5.77,-0.33,7.81,0.2,-0.05,-0.14,MOV3
5.84,-0.25,7.96,0.18,-0.06,-0.12,MOV3
6.15,-1.04,8.36,0.22,-0.1,-0.07,MOV3
5.95,-0.27,8.28,0.23,-0.08,-0.09,MOV3
5.95,-0.29,8.03,0.19,-0.05,-0.16,MOV3
5.65,-0.18,8.2,0.17,-0.04,-0.15,MOV3
5.63,-1.09,8.4,0.19,-0.07,-0.1,MOV3
5.85,-0.28,8.01,0.2,-0.07,-0.12,MOV3
6.31,-0.25,7.67,0.17,-0.06,-0.19,MOV3
5.92,-0.2,8.14,0.15,-0.06,-0.19,MOV3
5.61,-1.03,8.83,0.16,-0.08,-0.13,MOV3
5.44,-0.22,8.32,0.18,-0.05,-0.16,MOV3
6.01,-0.31,7.58,0.15,-0.04,-0.22,MOV3
6.14,-0.39,7.86,0.12,-0.07,-0.21,MOV3
5.66,-0.94,8.6,0.12,-0.08,-0.16,MOV3
5.49,-0.25,8.39,0.16,-0.06,-0.18,MOV3
5.96,-0.29,7.85,0.15,-0.05,-0.24,MOV3
5.71,-0.45,8.02,0.11,-0.06,-0.24,MOV3
5.31,-0.98,8.53,0.11,-0.07,-0.18,MOV3
5.88,-0.26,7.99,0.17,-0.07,-0.19,MOV3
6.4,-0.34,7.82,0.16,-0.07,-0.23,MOV3
5.87,-0.48,8.34,0.12,-0.07,-0.24,MOV3
5.05,-0.85,8.89,0.11,-0.06,-0.18,MOV3
5.5,-0.32,8.04,0.18,-0.05,-0.18,MOV3
6.42,-0.55,7.6,0.17,-0.08,-0.21,MOV3
6.03,-0.57,8.24,0.13,-0.09,-0.22,MOV3
5.31,-0.53,8.76,0.12,-0.06,-0.17,MOV3
5.73,-0.34,8.17,0.2,-0.07,-0.16,MOV3
6.18,-0.49,7.88,0.2,-0.08,-0.17,MOV3
5.61,-0.58,8.12,0.15,-0.06,-0.19,MOV3
5.41,-0.46,8.43,0.14,-0.06,-0.15,MOV3
6.22,-0.53,8.05,0.23,-0.08,-0.12,MOV3
6.25,-0.55,8.07,0.22,-0.1,-0.13,MOV3
5.47,-0.46,8.46,0.17,-0.06,-0.16,MOV3
5.09,-0.24,8.41,0.17,-0.04,-0.13,MOV3
5.94,-0.75,7.88,0.24,-0.08,-0.09,MOV3
6.36,-0.51,7.94,0.23,-0.11,-0.09,MOV3
5.79,-0.26,8.2,0.19,-0.06,-0.14,MOV3
5.48,-0.09,8.33,0.19,-0.05,-0.1,MOV3
5.84,-0.8,8.27,0.26,-0.08,-0.06,MOV3
5.8,-0.45,8.15,0.24,-0.08,-0.07,MOV3
5.77,-0.34,7.92,0.2,-0.06,-0.12,MOV3
5.85,0.01,8.02,0.2,-0.06,-0.09,MOV3
6.06,-1.02,8.53,0.25,-0.1,-0.04,MOV3
5.81,-0.4,8.45,0.24,-0.09,-0.05,MOV3
5.51,-0.23,8.04,0.2,-0.04,-0.12,MOV3
5.54,-0.08,7.97,0.19,-0.05,-0.1,MOV3
6.0,-1.17,8.33,0.23,-0.1,-0.04,MOV3
5.94,-0.24,8.34,0.23,-0.09,-0.07,MOV3
5.83,-0.19,7.95,0.2,-0.05,-0.14,MOV3
5.63,-0.09,8.24,0.18,-0.05,-0.12,MOV3
5.51,-1.19,8.59,0.21,-0.08,-0.07,MOV3
5.57,-0.26,8.05,0.21,-0.07,-0.09,MOV3
6.22,-0.24,7.56,0.19,-0.07,-0.16,MOV3
6.03,-0.24,8.12,0.17,-0.08,-0.15,MOV3
5.72,-1.15,8.81,0.19,-0.1,-0.09,MOV3
5.42,-0.12,8.3,0.2,-0.07,-0.12,MOV3
5.9,-0.27,7.64,0.18,-0.05,-0.19,MOV3
5.94,-0.41,7.95,0.15,-0.08,-0.17,MOV3
5.7,-1.03,8.74,0.16,-0.1,-0.12,MOV3
5.66,-0.09,8.33,0.2,-0.07,-0.14,MOV3
6.09,-0.32,7.97,0.18,-0.06,-0.19,MOV3
5.57,-0.38,8.33,0.15,-0.06,-0.19,MOV3
5.2,-1.05,8.65,0.15,-0.07,-0.13,MOV3
5.81,-0.27,7.95,0.21,-0.08,-0.14,MOV3
6.43,-0.33,7.76,0.19,-0.09,-0.18,MOV3
5.66,-0.43,8.46,0.16,-0.07,-0.18,MOV3
5.22,-0.85,8.86,0.17,-0.08,-0.12,MOV3
5.45,-0.27,8.24,0.22,-0.07,-0.12,MOV3
6.04,-0.45,7.72,0.21,-0.07,-0.15,MOV3
5.95,-0.44,8.09,0.18,-0.08,-0.15,MOV3
5.53,-0.62,8.68,0.18,-0.09,-0.1,MOV3
5.75,-0.36,8.32,0.25,-0.08,-0.08,MOV3
5.99,-0.36,8.0,0.23,-0.08,-0.11,MOV3
5.53,-0.39,8.2,0.2,-0.06,-0.12,MOV3
5.27,-0.64,8.52,0.2,-0.07,-0.06,MOV3
6.03,-0.38,8.14,0.27,-0.09,-0.05,MOV3
6.39,-0.33,8.1,0.26,-0.1,-0.07,MOV3
5.73,-0.36,8.48,0.22,-0.08,-0.09,MOV3
4.95,-0.51,8.85,0.21,-0.06,-0.05,MOV3
5.56,-0.36,8.12,0.28,-0.06,-0.03,MOV3
6.33,-0.46,7.76,0.27,-0.1,-0.04,MOV3
5.96,-0.38,8.22,0.23,-0.09,-0.07,MOV3
