ax,ay,az,gx,gy,gz,target
5.64,-0.95,8.37,0.26,-0.09,0.01,IDLE1
5.83,-0.51,8.19,0.29,-0.1,0.02,IDLE1
6.24,-0.22,7.86,0.29,-0.09,-0.01,IDLE1
6.11,-0.14,8.09,0.27,-0.08,-0.03,IDLE1
5.51,-0.87,8.71,0.26,-0.09,0.01,IDLE1
5.2,-0.44,8.37,0.28,-0.07,0.02,IDLE1
5.99,-0.25,7.53,0.3,-0.07,-0.01,IDLE1
6.36,-0.34,7.77,0.28,-0.1,-0.02,IDLE1
5.9,-0.76,8.49,0.25,-0.11,0.02,IDLE1
5.6,-0.4,8.44,0.28,-0.09,0.02,IDLE1
5.87,-0.26,7.84,0.3,-0.07,-0.01,IDLE1
5.81,-0.39,7.87,0.27,-0.08,-0.02,IDLE1
5.58,-0.71,8.39,0.24,-0.09,0.01,IDLE1
5.91,-0.33,8.24,0.28,-0.1,0.02,IDLE1
6.48,-0.31,7.81,0.3,-0.1,-0.0,IDLE1
5.92,-0.47,8.37,0.27,-0.09,-0.02,IDLE1
5.14,-0.52,8.61,0.24,-0.07,0.0,IDLE1
5.47,-0.37,8.15,0.28,-0.07,0.01,IDLE1
6.36,-0.63,7.71,0.3,-0.11,0.01,IDLE1
6.17,-0.44,8.18,0.26,-0.11,-0.02,IDLE1
5.41,-0.29,8.54,0.24,-0.08,-0.01,IDLE1
5.56,-0.41,8.48,0.29,-0.08,0.01,IDLE1
5.87,-0.64,8.12,0.3,-0.1,0.01,IDLE1
5.77,-0.51,7.93,0.26,-0.09,-0.02,IDLE1
5.77,-0.27,8.01,0.24,-0.09,-0.01,IDLE1
6.11,-0.52,8.24,0.29,-0.11,0.01,IDLE1
5.84,-0.76,8.4,0.3,-0.11,0.02,IDLE1
5.59,-0.44,8.3,0.27,-0.08,-0.02,IDLE1
5.28,-0.14,8.05,0.25,-0.06,-0.02,IDLE1
5.91,-0.73,7.94,0.28,-0.1,0.01,IDLE1
6.22,-0.74,8.21,0.29,-0.13,0.02,IDLE1
5.94,-0.35,8.35,0.28,-0.09,-0.02,IDLE1
5.48,-0.03,8.27,0.26,-0.06,-0.03,IDLE1
5.59,-0.71,8.44,0.29,-0.09,0.01,IDLE1
5.55,-0.69,8.36,0.29,-0.09,0.02,IDLE1
5.92,-0.37,7.84,0.28,-0.08,-0.02,IDLE1
6.11,0.02,7.93,0.27,-0.09,-0.02,IDLE1
5.89,-0.87,8.56,0.28,-0.11,0.02,IDLE1
5.34,-0.59,8.64,0.29,-0.09,0.02,IDLE1
5.49,-0.2,8.05,0.28,-0.06,-0.02,IDLE1
5.67,-0.1,7.72,0.27,-0.06,-0.03,IDLE1
5.96,-0.95,8.33,0.27,-0.11,0.02,IDLE1
5.87,-0.44,8.5,0.29,-0.11,0.03,IDLE1
5.89,-0.23,8.11,0.29,-0.08,-0.02,IDLE1
5.63,-0.14,8.07,0.28,-0.07,-0.03,IDLE1
5.31,-0.88,8.62,0.26,-0.08,0.02,IDLE1
5.43,-0.43,8.25,0.28,-0.08,0.02,IDLE1
6.28,-0.28,7.68,0.29,-0.09,-0.01,IDLE1
6.16,-0.22,8.08,0.27,-0.09,-0.02,IDLE1
5.44,-0.83,8.77,0.25,-0.09,0.01,IDLE1
5.24,-0.31,8.37,0.28,-0.07,0.01,IDLE1
5.73,-0.24,7.74,0.29,-0.07,-0.02,IDLE1
5.97,-0.44,7.68,0.26,-0.09,-0.03,IDLE1
5.85,-0.76,8.44,0.24,-0.1,0.01,IDLE1
5.74,-0.35,8.35,0.28,-0.09,0.02,IDLE1
5.92,-0.41,8.02,0.3,-0.09,-0.01,IDLE1
5.63,-0.41,8.03,0.27,-0.08,-0.03,IDLE1
5.31,-0.73,8.37,0.24,-0.08,0.0,IDLE1
5.72,-0.51,7.98,0.28,-0.09,0.02,IDLE1
6.45,-0.45,7.85,0.3,-0.11,0.0,IDLE1
5.99,-0.41,8.29,0.27,-0.09,-0.02,IDLE1
5.3,-0.54,8.58,0.25,-0.07,-0.0,IDLE1
5.42,-0.49,8.18,0.28,-0.08,0.01,IDLE1
6.16,-0.64,7.74,0.29,-0.11,0.01,IDLE1
6.18,-0.49,7.81,0.27,-0.1,-0.02,IDLE1
5.84,-0.43,8.36,0.24,-0.1,-0.0,IDLE1
5.62,-0.54,8.49,0.28,-0.09,0.01,IDLE1
5.81,-0.54,8.1,0.3,-0.09,0.01,IDLE1
5.79,-0.45,7.85,0.27,-0.08,-0.02,IDLE1
5.76,-0.35,8.07,0.25,-0.09,-0.01,IDLE1
6.04,-0.5,8.09,0.28,-0.11,0.01,IDLE1
6.22,-0.56,8.19,0.3,-0.12,0.01,IDLE1
5.76,-0.46,8.37,0.28,-0.09,-0.02,IDLE1
5.24,-0.15,8.3,0.25,-0.06,-0.02,IDLE1
5.67,-0.6,8.06,0.28,-0.09,0.01,IDLE1
6.16,-0.68,8.03,0.3,-0.12,0.02,IDLE1
6.17,-0.43,8.06,0.28,-0.1,-0.02,IDLE1
5.72,-0.1,8.37,0.25,-0.08,-0.02,IDLE1
5.53,-0.56,8.45,0.28,-0.08,0.01,IDLE1
5.53,-0.64,8.36,0.3,-0.09,0.02,IDLE1
5.79,-0.44,7.86,0.27,-0.08,-0.02,IDLE1
6.03,-0.01,7.84,0.26,-0.09,-0.02,IDLE1
6.11,-0.61,8.25,0.28,-0.11,0.02,IDLE1
5.74,-0.72,8.66,0.29,-0.11,0.03,IDLE1
5.53,-0.25,8.15,0.28,-0.07,-0.02,IDLE1
5.55,0.01,7.76,0.26,-0.06,-0.03,IDLE1
5.84,-0.85,8.24,0.27,-0.1,0.02,IDLE1
5.93,-0.64,8.49,0.28,-0.11,0.03,IDLE1
6.11,-0.19,8.02,0.28,-0.09,-0.02,IDLE1
5.87,-0.06,8.11,0.27,-0.08,-0.03,IDLE1
5.41,-0.87,8.62,0.26,-0.09,0.01,IDLE1
5.29,-0.61,8.37,0.27,-0.08,0.02,IDLE1
6.13,-0.25,7.61,0.29,-0.08,-0.02,IDLE1
6.35,-0.17,7.85,0.27,-0.1,-0.02,IDLE1
5.88,-0.92,8.65,0.26,-0.11,0.02,IDLE1
5.32,-0.45,8.66,0.28,-0.08,0.02,IDLE1
5.75,-0.17,7.81,0.3,-0.07,-0.02,IDLE1
5.99,-0.38,7.62,0.28,-0.09,-0.02,IDLE1
5.8,-0.98,8.5,0.25,-0.11,0.02,IDLE1
5.76,-0.29,8.47,0.28,-0.09,0.02,IDLE1
6.28,-0.23,7.88,0.31,-0.09,-0.01,IDLE1
5.89,-0.43,8.17,0.28,-0.09,-0.02,IDLE1
5.16,-0.83,8.61,0.24,-0.08,0.01,IDLE1
5.55,-0.34,8.02,0.27,-0.08,0.01,IDLE1
6.57,-0.43,7.58,0.31,-0.11,-0.0,IDLE1
6.13,-0.56,8.36,0.28,-0.11,-0.01,IDLE1
5.42,-0.67,8.78,0.24,-0.09,0.01,IDLE1
5.41,-0.17,8.33,0.28,-0.06,0.0,IDLE1
6.06,-0.56,7.73,0.31,-0.09,-0.0,IDLE1
6.01,-0.65,7.96,0.27,-0.1,-0.01,IDLE1
5.7,-0.34,8.33,0.24,-0.09,-0.01,IDLE1
5.88,-0.24,8.19,0.29,-0.09,0.01,IDLE1
5.94,-0.79,8.25,0.31,-0.11,0.02,IDLE1
5.46,-0.5,8.33,0.27,-0.08,-0.02,IDLE1
5.27,-0.24,8.08,0.24,-0.06,-0.01,IDLE1
6.14,-0.41,7.88,0.29,-0.1,0.01,IDLE1
6.34,-0.81,8.29,0.3,-0.13,0.03,IDLE1
5.56,-0.4,8.58,0.27,-0.08,-0.02,IDLE1
5.31,0.05,8.2,0.25,-0.05,-0.02,IDLE1
5.67,-0.5,8.13,0.29,-0.08,0.01,IDLE1
5.8,-0.93,8.2,0.29,-0.11,0.02,IDLE1
5.93,-0.35,8.03,0.26,-0.09,-0.02,IDLE1
6.0,0.1,8.03,0.26,-0.08,-0.02,IDLE1
5.79,-0.8,8.46,0.29,-0.1,0.01,IDLE1
5.3,-0.72,8.65,0.27,-0.09,0.02,IDLE1
5.41,-0.2,8.0,0.27,-0.05,-0.04,IDLE1
5.91,-0.03,7.59,0.25,-0.07,-0.03,IDLE1
6.16,-0.95,8.32,0.27,-0.12,0.01,IDLE1
5.62,-0.63,8.76,0.27,-0.11,0.02,IDLE1
5.72,-0.11,8.03,0.28,-0.06,-0.04,IDLE1
5.77,-0.09,7.81,0.26,-0.07,-0.04,IDLE1
5.47,-1.09,8.48,0.25,-0.09,-0.0,IDLE1
5.49,-0.56,8.31,0.26,-0.09,0.01,IDLE1
6.43,-0.1,7.67,0.29,-0.09,-0.04,IDLE1
6.09,-0.19,8.1,0.26,-0.09,-0.04,IDLE1
5.3,-1.0,8.86,0.24,-0.08,-0.0,IDLE1
5.1,-0.31,8.39,0.26,-0.06,-0.0,IDLE1
5.99,-0.25,7.52,0.29,-0.07,-0.04,IDLE1
6.25,-0.36,7.72,0.26,-0.1,-0.04,IDLE1
5.65,-0.9,8.73,0.23,-0.1,-0.0,IDLE1
5.42,-0.25,8.42,0.27,-0.08,0.0,IDLE1
6.06,-0.35,7.72,0.3,-0.09,-0.02,IDLE1
5.74,-0.5,8.03,0.26,-0.09,-0.03,IDLE1
5.47,-0.71,8.5,0.23,-0.09,0.0,IDLE1
5.83,-0.23,7.99,0.28,-0.09,0.0,IDLE1
6.56,-0.49,7.9,0.31,-0.11,-0.0,IDLE1
5.72,-0.49,8.48,0.27,-0.09,-0.02,IDLE1
4.97,-0.54,8.63,0.23,-0.06,-0.01,IDLE1
5.71,-0.25,7.85,0.29,-0.07,0.0,IDLE1
6.58,-0.74,7.83,0.31,-0.13,0.01,IDLE1
6.1,-0.54,8.2,0.27,-0.11,-0.01,IDLE1
5.42,-0.3,8.56,0.24,-0.08,-0.01,IDLE1
5.77,-0.25,8.09,0.3,-0.08,0.0,IDLE1
5.97,-0.81,8.1,0.3,-0.11,0.02,IDLE1
5.6,-0.59,8.11,0.26,-0.09,-0.02,IDLE1
5.83,0.0,8.04,0.24,-0.07,-0.02,IDLE1
6.4,-0.37,7.94,0.3,-0.11,0.01,IDLE1
6.06,-0.9,8.54,0.3,-0.13,0.03,IDLE1
5.23,-0.45,8.53,0.26,-0.06,-0.03,IDLE1
5.4,0.16,7.79,0.24,-0.05,-0.03,IDLE1
6.31,-0.84,7.8,0.3,-0.12,0.01,IDLE1
6.02,-0.79,8.52,0.28,-0.13,0.03,IDLE1
5.75,-0.28,8.32,0.25,-0.08,-0.04,IDLE1
5.75,0.27,8.0,0.25,-0.06,-0.04,IDLE1
5.82,-0.97,8.27,0.27,-0.09,-0.01,IDLE1
5.32,-0.8,8.56,0.26,-0.1,0.02,IDLE1
5.95,-0.17,7.67,0.25,-0.06,-0.06,IDLE1
6.36,0.18,7.68,0.24,-0.08,-0.07,IDLE1
6.06,-1.17,8.59,0.26,-0.12,-0.01,IDLE1
5.22,-0.58,8.92,0.25,-0.1,0.0,IDLE1
5.53,-0.13,7.74,0.25,-0.04,-0.08,IDLE1
6.07,-0.01,7.57,0.24,-0.07,-0.07,IDLE1
5.95,-1.37,8.69,0.24,-0.13,-0.0,IDLE1
5.35,-0.22,8.76,0.25,-0.09,-0.0,IDLE1
5.96,-0.12,7.9,0.27,-0.06,-0.06,IDLE1
5.99,-0.11,7.99,0.26,-0.08,-0.05,IDLE1
5.22,-1.38,8.86,0.23,-0.1,0.01,IDLE1
5.13,-0.2,8.31,0.26,-0.07,0.0,IDLE1
6.63,-0.23,7.46,0.29,-0.09,-0.04,IDLE1
6.27,-0.4,8.16,0.28,-0.12,-0.02,IDLE1
5.38,-1.18,9.11,0.24,-0.11,0.02,IDLE1
4.94,-0.03,8.52,0.27,-0.05,-0.0,IDLE1
6.19,-0.33,7.47,0.31,-0.08,-0.02,IDLE1
6.23,-0.57,7.88,0.28,-0.12,-0.01,IDLE1
5.41,-0.89,8.83,0.23,-0.1,0.02,IDLE1
5.63,0.06,8.12,0.29,-0.07,0.0,IDLE1
6.42,-0.56,7.71,0.32,-0.1,-0.01,IDLE1
5.71,-0.53,8.26,0.28,-0.1,-0.01,IDLE1
5.05,-0.7,8.55,0.22,-0.07,0.01,IDLE1
5.99,-0.07,7.71,0.29,-0.08,-0.0,IDLE1
6.8,-0.67,7.88,0.31,-0.13,0.01,IDLE1
5.66,-0.57,8.66,0.27,-0.1,-0.01,IDLE1
4.96,-0.4,8.88,0.23,-0.06,0.0,IDLE1
5.64,-0.1,7.91,0.3,-0.05,-0.01,IDLE1
6.43,-0.89,7.81,0.3,-0.12,0.02,IDLE1
5.93,-0.57,8.25,0.27,-0.11,-0.01,IDLE1
5.41,0.03,8.44,0.23,-0.06,-0.01,IDLE1
5.97,-0.4,8.06,0.31,-0.08,0.0,IDLE1
6.11,-0.8,8.26,0.3,-0.12,0.02,IDLE1
5.26,-0.53,8.26,0.26,-0.08,-0.02,IDLE1
5.44,0.09,7.87,0.23,-0.05,-0.02,IDLE1
